# Plane Wire Noise(ADC) RMS(ADC)
2 0 2.2937 0.00397246
2 1 5.66809 0.0166507
2 2 7.00783 0.0189321
2 3 5.10586 0.0147856
2 4 5.54472 0.0149691
2 5 5.32413 0.0152416
2 6 5.6302 0.0149046
2 7 5.40083 0.0154128
2 8 2.00743 0.00266841
2 9 5.40336 0.0153411
2 10 5.51184 0.0145884
2 11 2.04173 0.00277792
2 12 6.4312 0.0179201
2 13 2.16761 0.00295772
2 14 2.3876 0.00406263
2 15 1.97247 0.00238137
2 16 2.37759 0.00385933
2 17 5.16676 0.014012
2 18 5.8513 0.015856
2 19 1.84847 0.0018603
2 20 5.61139 0.0152201
2 21 4.94082 0.0126113
2 22 5.64493 0.0152496
2 23 4.75167 0.0120082
2 24 5.10467 0.0132941
2 25 4.77735 0.0122108
2 26 5.16273 0.0136434
2 27 1.86835 0.00201935
2 28 5.44778 0.0145275
2 29 5.97198 0.0134188
2 30 0 0
2 31 0 0
2 32 0 0
2 33 0 0
2 34 7.53702 0.00716711
2 35 9.60587 0.0196077
2 36 4.02714 0.00399719
2 37 9.25566 0.018785
2 38 8.38192 0.0178809
2 39 5.5562 0.00859439
2 40 8.38104 0.0185432
2 41 2.43054 0.00394161
2 42 2.64026 0.00438181
2 43 6.65212 0.0180114
2 44 2.40065 0.00425565
2 45 2.1835 0.00339734
2 46 7.10345 0.0189227
2 47 2.16516 0.00332547
2 48 2.25986 0.00376397
2 49 1.98968 0.00278049
2 50 2.37583 0.0041163
2 51 1.87447 0.0023798
2 52 2.18886 0.00343681
2 53 6.43335 0.0168904
2 54 1.97516 0.00272624
2 55 1.89041 0.00240065
2 56 1.93767 0.00253101
2 57 6.47284 0.0171079
2 58 2.11312 0.00313732
2 59 2.01357 0.002915
2 60 5.96554 0.0151797
2 61 5.56397 0.0143284
2 62 5.63937 0.0136854
2 63 6.02981 0.0160074
2 64 2.18471 0.0034663
2 65 1.77559 0.0021566
2 66 7.13671 0.018525
2 67 1.77965 0.00213814
2 68 6.96067 0.0180041
2 69 1.70773 0.0018847
2 70 1.92621 0.0025338
2 71 1.75241 0.00207949
2 72 2.03524 0.00284487
2 73 1.81666 0.00215453
2 74 6.55949 0.0163287
2 75 3.86734 0.00845842
2 76 1.9458 0.00233169
2 77 1.60834 0.00150272
2 78 5.62806 0.0134544
2 79 5.04345 0.0121971
2 80 5.09062 0.011756
2 81 5.04374 0.0117119
2 82 5.31571 0.0128204
2 83 5.79917 0.01452
2 84 1.84561 0.00226798
2 85 1.83044 0.00236651
2 86 6.38411 0.0160035
2 87 1.73364 0.00204686
2 88 5.66238 0.0140497
2 89 5.23569 0.0138649
2 90 5.36937 0.0133973
2 91 5.46466 0.0143499
2 92 6.2202 0.0154917
2 93 1.54572 0.00151349
2 94 2.0591 0.00342036
2 95 1.72979 0.00218666
2 96 7.7816 0.0197807
2 97 1.87914 0.0028681
2 98 0 0
2 99 0 0
2 100 0 0
2 101 0 0
2 102 1.56039 0.00157202
2 103 6.41764 0.0162036
2 104 1.29137 0.00146518
2 105 1.65297 0.00200203
2 106 1.79276 0.00218605
2 107 5.83785 0.0148168
2 108 5.69041 0.0135183
2 109 5.50981 0.0139543
2 110 6.17559 0.0153341
2 111 1.59895 0.00187436
2 112 6.73152 0.0166155
2 113 1.56096 0.00158164
2 114 6.61183 0.0161274
2 115 6.63019 0.0171094
2 116 2.92895 0.00324816
2 117 1.99075 0.0028422
2 118 3.18984 0.00419753
2 119 1.97005 0.00288735
2 120 5.90797 0.0120855
2 121 1.80128 0.00231434
2 122 2.21773 0.0036583
2 123 2.05175 0.00317171
2 124 4.50187 0.0103748
2 125 6.89099 0.0171637
2 126 6.37963 0.0154956
2 127 7.49262 0.0165824
2 128 6.70542 0.0165029
2 129 3.62179 0.00546234
2 130 7.02824 0.0175655
2 131 9.1082 0.0204933
2 132 4.16603 0.00949518
2 133 3.88289 0.00598145
2 134 2.19071 0.00361349
2 135 2.30609 0.00333184
2 136 7.46583 0.0199425
2 137 7.01221 0.0184014
2 138 2.71471 0.0044165
2 139 1.95808 0.00273454
2 140 10.8755 0.021101
2 141 7.42001 0.0197924
2 142 6.8522 0.00694052
2 143 1.88489 0.00247968
2 144 3.75463 0.00578786
2 145 7.89521 0.0215378
2 146 8.53987 0.0224388
2 147 1.96617 0.00266841
2 148 2.71326 0.00580136
2 149 2.01675 0.00293096
2 150 2.69411 0.00598201
2 151 8.48621 0.0247792
2 152 8.49838 0.0237852
2 153 0 0
2 154 9.31746 0.0264676
2 155 2.04521 0.00276857
2 156 10.0134 0.0287929
2 157 2.09647 0.00330463
2 158 2.47093 0.00486018
